2022-02-18T16-04-21,44710,AULTMAN HOSPITAL CANTON,02/16/2022 12:00:00 AM,02/17/2022 12:00:00 AM,60,,
2022-03-03T09-56-49,44710,AULTMAN HOSPITAL CANTON,02/16/2022 12:00:00 AM,02/17/2022 12:00:00 AM,60,,
2022-03-03T10-04-44,44710,AULTMAN HOSPITAL CANTON,03/02/2022 12:00:00 AM,02/17/2022 12:00:00 AM,66,,
2022-03-08T14-40-56,44710,AULTMAN HOSPITAL CANTON,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,66,,
2022-03-16T18-51-35,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,71,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,71,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,71,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,77,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,77,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,77,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,77,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,77,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,77,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,77,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,77,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,77,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,77,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,77,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,77,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,77,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,77,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,77,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,77,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,44710,AULTMAN HOSPITAL,NLP,NLP,NLP,77,03/23/2022 12:00:00 AM
