2022-03-08T14-40-56,42718,TAYLOR REGIONAL HOSPITAL,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,42718,TAYLOR REGIONAL HOSPITAL,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,42718,TAYLOR REGIONAL HOSPITAL,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,42718,TAYLOR REGIONAL HOSPITAL,NLP,NLP,NLP,5,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,42718,TAYLOR REGIONAL HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,42718,TAYLOR REGIONAL HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,42718,TAYLOR REGIONAL HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,42718,TAYLOR REGIONAL HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,42718,TAYLOR REGIONAL HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,42718,TAYLOR REGIONAL HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,42718,TAYLOR REGIONAL HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,42718,TAYLOR REGIONAL HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,42718,TAYLOR REGIONAL HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,42718,TAYLOR REGIONAL HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,42718,TAYLOR REGIONAL HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,42718,TAYLOR REGIONAL HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,42718,TAYLOR REGIONAL HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-30T09-27-07,42718,TAYLOR REGIONAL HOSPITAL,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
