2022-02-18T16-04-21,86045,TUBA CITY REG HEALTH CARE CENTER,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,86045,TUBA CITY REG HEALTH CARE CENTER,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,78,,
2022-03-03T10-04-44,86045,TUBA CITY REG HEALTH CARE CENTER,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,78,,
2022-03-08T14-40-56,86045,TUBA CITY REG HEALTH CARE CENTER,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,96,,
2022-03-16T18-51-35,86045,TUBA CITY REGIONAL HEALTH CARE CORPORATION,NLP,NLP,NLP,114,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,86045,TUBA CITY REGIONAL HEALTH CARE CORPORATION,NLP,NLP,NLP,114,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,86045,TUBA CITY REGIONAL HEALTH CARE CORPORATION,NLP,NLP,NLP,114,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,86045,TUBA CITY REGIONAL HEALTH CARE CORPORATION,NLP,NLP,NLP,132,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,86045,TUBA CITY REGIONAL HEALTH CARE CORPORATION,NLP,NLP,NLP,132,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,86045,TUBA CITY REGIONAL HEALTH CARE CORPORATION,NLP,NLP,NLP,132,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,86045,TUBA CITY REGIONAL HEALTH CARE CORPORATION,NLP,NLP,NLP,132,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,86045,TUBA CITY REGIONAL HEALTH CARE CORPORATION,NLP,NLP,NLP,132,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,86045,TUBA CITY REGIONAL HEALTH CARE CORPORATION,NLP,NLP,NLP,132,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,86045,TUBA CITY REGIONAL HEALTH CARE CORPORATION,NLP,NLP,NLP,132,03/16/2022 12:00:00 AM
