2022-03-03T09-56-49,63801,Missouri Delta Medical Center,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,63801,SOUTHEAST MISSOURI RESIDENTIAL SERV,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,6,,
2022-03-03T10-04-44,63801,Missouri Delta Medical Center,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,6,,
2022-03-03T10-04-44,63801,SOUTHEAST MISSOURI RESIDENTIAL SERV,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,6,,
2022-03-08T14-40-56,63801,SOUTHEAST MISSOURI RESIDENTIAL SERV,02/22/2022 12:00:00 AM,02/25/2022 12:00:00 AM,6,,
2022-03-08T14-40-56,63801,Missouri Delta Medical Center,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,63801,MISSOURI DELTA MEDICAL CENTER,NLP,NLP,NLP,19,03/23/2022 12:00:00 AM
