2022-02-18T16-04-21,27886,VIDANT EDGECOMBE HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,27886,VIDANT EDGECOMBE HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,42,,
2022-03-03T10-04-44,27886,VIDANT EDGECOMBE HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,42,,
2022-03-08T14-40-56,27886,VIDANT EDGECOMBE HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,63,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,63,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,63,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,27886,VIDANT EDGECOMBE HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
