2022-02-18T16-04-21,65807,LESTER E COX MED CTR,02/16/2022 12:00:00 AM,,24,,
2022-03-03T09-56-49,65807,LESTER E COX MED CTR,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,138,,
2022-03-03T10-04-44,65807,LESTER E COX MED CTR,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,138,,
2022-03-08T14-40-56,65807,LESTER E COX MED CTR,03/08/2022 12:00:00 AM,03/02/2022 12:00:00 AM,186,,
2022-03-16T18-51-35,65807,COX MEDICAL CENTERS,NLP,NLP,NLP,128,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,65807,OMNICARE OF SPRINGFIELD,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,65807,OMNICARE OF SPRINGFIELD,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,65807,COX MEDICAL CENTERS,NLP,NLP,NLP,128,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,65807,OMNICARE OF SPRINGFIELD,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,65807,COX MEDICAL CENTERS,NLP,NLP,NLP,128,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,65807,COX MEDICAL CENTERS,NLP,NLP,NLP,172,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,65807,OMNICARE OF SPRINGFIELD,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,65807,COX MEDICAL CENTERS,NLP,NLP,NLP,172,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,65807,OMNICARE OF SPRINGFIELD,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,65807,OMNICARE OF SPRINGFIELD,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,65807,COX MEDICAL CENTERS,NLP,NLP,NLP,172,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,65807,COX MEDICAL CENTERS,NLP,NLP,NLP,172,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,65807,OMNICARE OF SPRINGFIELD,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,65807,OMNICARE OF SPRINGFIELD,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,65807,COX MEDICAL CENTERS,NLP,NLP,NLP,172,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,65807,COX MEDICAL CENTERS,NLP,NLP,NLP,172,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,65807,OMNICARE OF SPRINGFIELD,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,65807,COX MEDICAL CENTERS,NLP,NLP,NLP,172,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,65807,OMNICARE OF SPRINGFIELD,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,65807,OMNICARE OF SPRINGFIELD,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,65807,COX MEDICAL CENTERS,NLP,NLP,NLP,172,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,65807,COX MEDICAL CENTERS,NLP,NLP,NLP,172,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,65807,OMNICARE OF SPRINGFIELD,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,65807,OMNICARE OF SPRINGFIELD,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,65807,COX MEDICAL CENTERS,NLP,NLP,NLP,172,03/16/2022 12:00:00 AM
