2022-02-18T16-04-21,15701,Diamond Pharmacy Services,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-02-18T16-04-21,15701,INDIANA REGIONAL MEDICAL CENTER,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,15701,INDIANA REGIONAL MEDICAL CENTER,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,42,,
2022-03-03T09-56-49,15701,Diamond Pharmacy Services,02/28/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,15701,Diamond Pharmacy Services,02/28/2022 12:00:00 AM,03/01/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,15701,INDIANA REGIONAL MEDICAL CENTER,02/28/2022 12:00:00 AM,03/01/2022 12:00:00 AM,42,,
2022-03-08T14-40-56,15701,Diamond Pharmacy Services,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,15701,INDIANA REGIONAL MEDICAL CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,15701,INDIANA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,15701,INDIANA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,15701,INDIANA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,15701,INDIANA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,15701,INDIANA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,15701,INDIANA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,15701,INDIANA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,15701,INDIANA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,15701,INDIANA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,15701,INDIANA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,15701,INDIANA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,15701,INDIANA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,15701,INDIANA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
