2022-03-16T18-51-35,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,8,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,3,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,3,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,3,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,3,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,3,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,3,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,3,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,3,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,3,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,3,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,3,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,3,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,3,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,74745,MCCURTAIN MEMORIAL HOSPITAL,NLP,NLP,NLP,3,03/30/2022 12:00:00 AM
