2022-02-18T16-04-21,99645,THE FAMILY HEALTH CENTER,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,99645,THE FAMILY HEALTH CENTER,02/16/2022 12:00:00 AM,02/22/2022 12:00:00 AM,6,,
2022-03-03T10-04-44,99645,THE FAMILY HEALTH CENTER,02/16/2022 12:00:00 AM,02/22/2022 12:00:00 AM,6,,
2022-03-08T14-40-56,99645,THE FAMILY HEALTH CENTER,02/16/2022 12:00:00 AM,02/22/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,99645,The Family Health Center,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,99645,The Family Health Center,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,99645,The Family Health Center,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,99645,The Family Health Center,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,99645,The Family Health Center,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,99645,The Family Health Center,NLP,NLP,NLP,5,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,99645,The Family Health Center,NLP,NLP,NLP,5,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,99645,The Family Health Center,NLP,NLP,NLP,5,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,99645,The Family Health Center,NLP,NLP,NLP,5,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,99645,MAT-SU REGIONAL MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,99645,The Family Health Center,NLP,NLP,NLP,5,03/23/2022 12:00:00 AM
