2022-02-18T16-04-21,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,36,,
2022-03-03T09-56-49,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,36,,
2022-03-16T18-51-35,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,73,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,73,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,73,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,73,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,73,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,73,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,73,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,73,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,73,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,73,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,73,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,73,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,73,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,73,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,72,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,72,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,72,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,72,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,72,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,72,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,72,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,72,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,72,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,72,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,72,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,72,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,72,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,42503,LAKE CUMBERLAND REGIONAL HOSPITAL,NLP,NLP,NLP,72,03/30/2022 12:00:00 AM
