2022-02-18T16-04-21,85297,MERCY GILBERT MEDICAL CENTER,02/17/2022 12:00:00 AM,,36,,
2022-03-03T09-56-49,85297,MERCY GILBERT MEDICAL CENTER,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,36,,
2022-03-03T09-56-49,85297,Stat Care Medical Services,02/24/2022 12:00:00 AM,,30,,
2022-03-03T10-04-44,85297,Stat Care Medical Services,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,85297,MERCY GILBERT MEDICAL CENTER,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,85297,Stat Care Medical Services,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,85297,MERCY GILBERT MEDICAL CENTER,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,36,,
2022-03-16T18-51-35,85297,MERCY GILBERT MEDICAL CENTER,NLP,NLP,NLP,53,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,85297,MERCY GILBERT MEDICAL CENTER,NLP,NLP,NLP,53,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,85297,MERCY GILBERT MEDICAL CENTER,NLP,NLP,NLP,53,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,85297,MERCY GILBERT MEDICAL CENTER,NLP,NLP,NLP,53,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,85297,MERCY GILBERT MEDICAL CENTER,NLP,NLP,NLP,53,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,85297,MERCY GILBERT MEDICAL CENTER,NLP,NLP,NLP,53,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,85297,MERCY GILBERT MEDICAL CENTER,NLP,NLP,NLP,53,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,85297,MERCY GILBERT MEDICAL CENTER,NLP,NLP,NLP,53,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,85297,MERCY GILBERT MEDICAL CENTER,NLP,NLP,NLP,53,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,85297,MERCY GILBERT MEDICAL CENTER,NLP,NLP,NLP,53,03/16/2022 12:00:00 AM
