2022-02-18T16-04-21,26757,HAMPSHIRE MEMORIAL HOSPITAL,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,26757,HAMPSHIRE MEMORIAL HOSPITAL,02/22/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,26757,HAMPSHIRE MEMORIAL HOSPITAL,02/22/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,26757,HAMPSHIRE MEMORIAL HOSPITAL,02/22/2022 12:00:00 AM,02/23/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,26757,HAMPSHIRE MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,26757,HAMPSHIRE MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,26757,HAMPSHIRE MEMORIAL HOSPITAL,NLP,NLP,NLP,11,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,26757,HAMPSHIRE MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,26757,HAMPSHIRE MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,26757,HAMPSHIRE MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,26757,HAMPSHIRE MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,26757,HAMPSHIRE MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,26757,HAMPSHIRE MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,26757,HAMPSHIRE MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
