2022-02-18T16-04-21,82001,Cheyenne Regional Medical Center,02/16/2022 12:00:00 AM,,30,,
2022-03-03T09-56-49,82001,Cheyenne Regional Medical Center,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,54,,
2022-03-03T10-04-44,82001,Cheyenne Regional Medical Center,03/02/2022 12:00:00 AM,02/25/2022 12:00:00 AM,78,,
2022-03-08T14-40-56,82001,Cheyenne Regional Medical Center,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,78,,
2022-03-16T18-51-35,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,86,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,86,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,86,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,86,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,86,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,86,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,86,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,86,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,86,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,86,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,86,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,86,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,86,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,86,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,117,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,117,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,117,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,117,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,117,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,82001,CHEYENNE REGIONAL MEDICAL CENTER,NLP,NLP,NLP,117,03/30/2022 12:00:00 AM
