2022-02-18T16-04-21,39194,Baptist Medical Center - Yazoo Inc.,02/16/2022 12:00:00 AM,,12,,
2022-03-03T09-56-49,39194,Baptist Medical Center - Yazoo Inc.,02/16/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,39194,Baptist Medical Center - Yazoo Inc.,02/16/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-08T14-40-56,39194,Baptist Medical Center - Yazoo Inc.,02/16/2022 12:00:00 AM,02/22/2022 12:00:00 AM,12,,
2022-03-16T18-51-35,39194,BAPTIST MEDICAL CENTER-YAZOO,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,39194,BAPTIST MEDICAL CENTER-YAZOO,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,39194,BAPTIST MEDICAL CENTER-YAZOO,NLP,NLP,NLP,12,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,39194,BAPTIST MEDICAL CENTER-YAZOO,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,39194,BAPTIST MEDICAL CENTER-YAZOO,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,39194,BAPTIST MEDICAL CENTER-YAZOO,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,39194,BAPTIST MEDICAL CENTER-YAZOO,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,39194,BAPTIST MEDICAL CENTER-YAZOO,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,39194,BAPTIST MEDICAL CENTER-YAZOO,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,39194,BAPTIST MEDICAL CENTER-YAZOO,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,39194,BAPTIST MEDICAL CENTER-YAZOO,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,39194,BAPTIST MEDICAL CENTER-YAZOO,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,39194,BAPTIST MEDICAL CENTER-YAZOO,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,39194,BAPTIST MEDICAL CENTER-YAZOO,NLP,NLP,NLP,12,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,39194,BAPTIST MEDICAL CENTER-YAZOO,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,39194,BAPTIST MEDICAL CENTER-YAZOO,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
