2022-02-18T16-04-21,15227,Spartan Pharmacy,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-02-18T16-04-21,15227,Spartan Pharmacy-Brownsville Road,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,24,,
2022-03-03T09-56-49,15227,Spartan Pharmacy-Brownsville Road,02/24/2022 12:00:00 AM,02/17/2022 12:00:00 AM,60,,
2022-03-03T09-56-49,15227,Spartan Pharmacy - CLAIRTON BLVD,02/24/2022 12:00:00 AM,02/17/2022 12:00:00 AM,60,,
2022-03-03T09-56-49,15227,SPARTAN PHARMACY LTC,02/24/2022 12:00:00 AM,,18,,
2022-03-03T10-04-44,15227,SPARTAN PHARMACY LTC,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,15227,Spartan Pharmacy-Brownsville Road,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,60,,
2022-03-03T10-04-44,15227,Spartan Pharmacy - CLAIRTON BLVD,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,15227,Spartan Pharmacy - CLAIRTON BLVD,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,15227,SPARTAN PHARMACY LTC,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,15227,Spartan Pharmacy-Brownsville Road,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,60,,
2022-03-16T18-51-35,15227,SPARTAN PHARMACY - LTC,NLP,NLP,NLP,18,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,15227,SPARTAN PHARMACY - Brownsville Rd,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,15227,SPARTAN PHARMACY - LTC,NLP,NLP,NLP,18,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,15227,SPARTAN PHARMACY - Brownsville Rd,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,15227,SPARTAN PHARMACY - LTC,NLP,NLP,NLP,18,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,15227,SPARTAN PHARMACY - Brownsville Rd,NLP,NLP,NLP,36,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,15227,SPARTAN PHARMACY - Brownsville Rd,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,15227,SPARTAN PHARMACY - LTC,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,15227,SPARTAN PHARMACY - Brownsville Rd,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,15227,SPARTAN PHARMACY - LTC,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,15227,SPARTAN PHARMACY - LTC,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,15227,SPARTAN PHARMACY - Brownsville Rd,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,15227,SPARTAN PHARMACY - LTC,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,15227,SPARTAN PHARMACY - Brownsville Rd,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,15227,SPARTAN PHARMACY - LTC,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,15227,SPARTAN PHARMACY - Brownsville Rd,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,15227,SPARTAN PHARMACY - LTC,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,15227,SPARTAN PHARMACY - Brownsville Rd,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,15227,SPARTAN PHARMACY - LTC,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,15227,SPARTAN PHARMACY - Brownsville Rd,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,15227,SPARTAN PHARMACY - Brownsville Rd,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,15227,SPARTAN PHARMACY - LTC,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,15227,SPARTAN PHARMACY - Brownsville Rd,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,15227,SPARTAN PHARMACY - LTC,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,15227,SPARTAN PHARMACY - LTC,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,15227,SPARTAN PHARMACY - Brownsville Rd,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,15227,SPARTAN PHARMACY - LTC,NLP,NLP,NLP,18,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,15227,SPARTAN PHARMACY - Brownsville Rd,NLP,NLP,NLP,35,03/16/2022 12:00:00 AM
