2022-02-18T16-04-21,47006,Margaret Mary Community Hospital,02/16/2022 12:00:00 AM,,36,,
2022-03-03T09-56-49,47006,Margaret Mary Community Hospital,02/16/2022 12:00:00 AM,02/18/2022 12:00:00 AM,36,,
2022-03-03T10-04-44,47006,Margaret Mary Community Hospital,02/16/2022 12:00:00 AM,02/18/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,47006,Margaret Mary Community Hospital,02/16/2022 12:00:00 AM,02/18/2022 12:00:00 AM,36,,
2022-03-16T18-51-35,47006,MARGARET MARY HEALTH,NLP,NLP,NLP,35,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,47006,MARGARET MARY HEALTH,NLP,NLP,NLP,35,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,47006,MARGARET MARY HEALTH,NLP,NLP,NLP,35,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,47006,MARGARET MARY HEALTH,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,47006,MARGARET MARY HEALTH,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,47006,MARGARET MARY HEALTH,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,47006,MARGARET MARY HEALTH,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,47006,MARGARET MARY HEALTH,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,47006,MARGARET MARY HEALTH,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,47006,MARGARET MARY HEALTH,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,47006,MARGARET MARY HEALTH,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,47006,MARGARET MARY HEALTH,NLP,NLP,NLP,33,03/16/2022 12:00:00 AM
