2022-02-18T16-04-21,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,55051,WELIA HEALTH,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,55051,WELIA HEALTH,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,55051,WELIA HEALTH,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,55051,WELIA HEALTH,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,55051,WELIA HEALTH,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,55051,WELIA HEALTH,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,55051,WELIA HEALTH,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,55051,WELIA HEALTH,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,55051,WELIA HEALTH,NLP,NLP,NLP,42,03/16/2022 12:00:00 AM
