2022-02-18T16-04-21,49684,MUNSON MEDICAL CENTER,02/17/2022 12:00:00 AM,,30,,
2022-03-03T09-56-49,49684,MUNSON MEDICAL CENTER,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,54,,
2022-03-03T09-56-49,49684,COPPER RIDGE HEALTH dba NOVELLO INF,02/25/2022 12:00:00 AM,,18,,
2022-03-03T10-04-44,49684,MUNSON MEDICAL CENTER,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,54,,
2022-03-03T10-04-44,49684,COPPER RIDGE HEALTH dba NOVELLO INF,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,18,,
2022-03-08T14-40-56,49684,MUNSON MEDICAL CENTER,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,54,,
2022-03-08T14-40-56,49684,COPPER RIDGE HEALTH dba NOVELLO INF,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,36,,
2022-03-16T18-51-35,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,34,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,34,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,34,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,49684,MUNSON MEDICAL CENTER,NLP,NLP,NLP,27,03/16/2022 12:00:00 AM
