2022-02-18T16-04-21,25701,CABELL HUNTINGTON HOSPITAL INC,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,25701,CABELL HUNTINGTON HOSPITAL INC,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,60,,
2022-03-03T10-04-44,25701,CABELL HUNTINGTON HOSPITAL INC,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,25701,CABELL HUNTINGTON HOSPITAL INC,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,72,,
2022-03-16T18-51-35,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,49,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,49,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,49,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,62,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,62,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,62,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,62,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,62,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,62,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,62,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,62,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,62,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,62,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
