2022-03-03T09-56-49,44708,MERCY MEDICAL CENTER - CANTON,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,6,,
2022-03-03T10-04-44,44708,MERCY MEDICAL CENTER - CANTON,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,6,,
2022-03-08T14-40-56,44708,MERCY MEDICAL CENTER - CANTON,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,44708,MERCY MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,44708,MERCY MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,44708,MERCY MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,44708,MERCY MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,44708,MERCY MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,44708,MERCY MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,44708,MERCY MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,44708,MERCY MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,44708,MERCY MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,44708,MERCY MEDICAL CENTER,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
