2022-02-18T16-04-21,33469,ARROYO HEALTH LABS CENTER LLC,02/17/2022 12:00:00 AM,,48,,
2022-03-03T09-56-49,33469,ARROYO HEALTH LABS CENTER LLC,02/25/2022 12:00:00 AM,02/22/2022 12:00:00 AM,144,,
2022-03-03T10-04-44,33469,ARROYO HEALTH LABS CENTER LLC,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,144,,
2022-03-08T14-40-56,33469,Arroyo Health Labs Center LLC,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,144,,
2022-03-16T18-51-35,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,140,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,140,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,140,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,139,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,139,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,139,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,139,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,139,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,33469,Arroyo Health Labs Center LLC,NLP,NLP,NLP,139,03/16/2022 12:00:00 AM
