2022-03-18T09-58-11,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,826,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,826,03/09/2022 12:00:00 AM
2022-03-19T11-58-02,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,826,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,826,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,826,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,826,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,826,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,826,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,826,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,826,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,826,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,826,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,826,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,826,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,826,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,826,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,826,03/23/2022 12:00:00 AM
2022-04-02T06-05-59,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,1015,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,1015,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,30067,WELLSTAR WINDY HILL HOSPITAL,NLP,NLP,NLP,1015,03/30/2022 12:00:00 AM
