2022-02-18T16-04-21,50401,MERCYONE NORTH IOWA MEDICAL CENTER,02/16/2022 12:00:00 AM,,30,,
2022-02-18T16-04-21,50401,HANCOCK COUNTY HEALTH SYSTEM,02/16/2022 12:00:00 AM,,6,,
2022-03-03T09-56-49,50401,MERCYONE NORTH IOWA MEDICAL CENTER,02/24/2022 12:00:00 AM,02/18/2022 12:00:00 AM,36,,
2022-03-03T09-56-49,50401,HANCOCK COUNTY HEALTH SYSTEM,02/24/2022 12:00:00 AM,02/18/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,50401,HANCOCK COUNTY HEALTH SYSTEM,02/24/2022 12:00:00 AM,02/18/2022 12:00:00 AM,12,,
2022-03-03T10-04-44,50401,MERCYONE NORTH IOWA MEDICAL CENTER,02/24/2022 12:00:00 AM,02/18/2022 12:00:00 AM,36,,
2022-03-08T14-40-56,50401,HANCOCK COUNTY HEALTH SYSTEM,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,24,,
2022-03-08T14-40-56,50401,MERCYONE NORTH IOWA MEDICAL CENTER,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,50401,MERCYONE NORTH IOWA MEDICAL CENTER,NLP,NLP,NLP,38,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,50401,MERCYONE NORTH IOWA MEDICAL CENTER,NLP,NLP,NLP,38,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,50401,MERCYONE NORTH IOWA MEDICAL CENTER,NLP,NLP,NLP,38,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,50401,MERCYONE NORTH IOWA MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,50401,MERCYONE NORTH IOWA MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,50401,MERCYONE NORTH IOWA MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,50401,MERCYONE NORTH IOWA MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,50401,MERCYONE NORTH IOWA MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,50401,MERCYONE NORTH IOWA MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,50401,MERCYONE NORTH IOWA MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,50401,MERCYONE NORTH IOWA MEDICAL CENTER,NLP,NLP,NLP,36,03/16/2022 12:00:00 AM
