2022-03-08T14-40-56,75244,ADVANCE ER GALLERIA,03/07/2022 12:00:00 AM,03/04/2022 12:00:00 AM,96,,
2022-03-16T18-51-35,75244,ADVANCE ER INWOOD,NLP,NLP,NLP,48,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,75244,ADVANCE ER INWOOD,NLP,NLP,NLP,48,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,75244,ADVANCE ER INWOOD,NLP,NLP,NLP,48,03/09/2022 12:00:00 AM
2022-03-26T06-57-27,75244,ADVANCE ER INWOOD,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,75244,ADVANCE ER INWOOD,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,75244,ADVANCE ER INWOOD,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,75244,ADVANCE ER INWOOD,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,75244,ADVANCE ER INWOOD,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,75244,ADVANCE ER INWOOD,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,75244,ADVANCE ER INWOOD,NLP,NLP,NLP,93,03/23/2022 12:00:00 AM
