2022-03-03T10-04-44,78539,DHR HEALTH,03/01/2022 12:00:00 AM,,24,,
2022-03-08T14-40-56,78539,DHR HEALTH,03/07/2022 12:00:00 AM,03/03/2022 12:00:00 AM,48,,
2022-03-16T18-51-35,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,817,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,817,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,817,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,812,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,812,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,812,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,812,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,812,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,812,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,812,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,812,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,812,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,812,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,812,03/16/2022 12:00:00 AM
2022-03-25T08-10-53,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,799,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,799,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,799,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,78539,Edinburg TDEM COVID-19 Infusion Center,NLP,NLP,NLP,799,03/23/2022 12:00:00 AM
