2022-03-08T14-40-56,50616,FLOYD COUNTY MEDICAL CENTER,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,6,,
2022-03-18T11-17-38,50616,FLOYD COUNTY MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,50616,FLOYD COUNTY MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,50616,FLOYD COUNTY MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,50616,FLOYD COUNTY MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,50616,FLOYD COUNTY MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,50616,FLOYD COUNTY MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,50616,FLOYD COUNTY MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,50616,FLOYD COUNTY MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,50616,FLOYD COUNTY MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,50616,FLOYD COUNTY MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,50616,FLOYD COUNTY MEDICAL CENTER,NLP,NLP,NLP,9,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,50616,FLOYD COUNTY MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,50616,FLOYD COUNTY MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,50616,FLOYD COUNTY MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,50616,FLOYD COUNTY MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,50616,FLOYD COUNTY MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,50616,FLOYD COUNTY MEDICAL CENTER,NLP,NLP,NLP,9,03/23/2022 12:00:00 AM
