2022-02-18T16-04-21,79412,WEBB CO REG INF CTR LUBBOCK,02/15/2022 12:00:00 AM,02/17/2022 12:00:00 AM,288,,
2022-03-03T09-56-49,79412,WEBB CO REG INF CTR LUBBOCK,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,480,,
2022-03-03T10-04-44,79412,WEBB CO REG INF CTR LUBBOCK,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,624,,
2022-03-08T14-40-56,79412,WEBB CO REG INF CTR LUBBOCK,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,624,,
2022-03-16T18-51-35,79412,Lubbock TDEM Covid-19 Infusion Center,NLP,NLP,NLP,888,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,79412,Lubbock TDEM Covid-19 Infusion Center,NLP,NLP,NLP,888,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,79412,Lubbock TDEM Covid-19 Infusion Center,NLP,NLP,NLP,888,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,79412,Lubbock TDEM Covid-19 Infusion Center,NLP,NLP,NLP,877,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,79412,Lubbock TDEM Covid-19 Infusion Center,NLP,NLP,NLP,877,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,79412,Lubbock TDEM Covid-19 Infusion Center,NLP,NLP,NLP,877,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,79412,Lubbock TDEM Covid-19 Infusion Center,NLP,NLP,NLP,877,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,79412,Lubbock TDEM Covid-19 Infusion Center,NLP,NLP,NLP,877,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,79412,Lubbock TDEM Covid-19 Infusion Center,NLP,NLP,NLP,877,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,79412,Lubbock TDEM Covid-19 Infusion Center,NLP,NLP,NLP,877,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,79412,Lubbock TDEM Covid-19 Infusion Center,NLP,NLP,NLP,877,03/16/2022 12:00:00 AM
