2022-02-18T16-04-21,87106,PRESBYTERIAN INFUSION CENTER,02/17/2022 12:00:00 AM,,66,,
2022-03-03T09-56-49,87106,PRESBYTERIAN INFUSION CENTER,02/28/2022 12:00:00 AM,02/22/2022 12:00:00 AM,228,,
2022-03-03T09-56-49,87106,PRESBYTERIAN MAIN HOSPITAL,02/18/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,87106,PRESBYTERIAN MAIN HOSPITAL,02/18/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-03T10-04-44,87106,PRESBYTERIAN INFUSION CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,228,,
2022-03-08T14-40-56,87106,PRESBYTERIAN INFUSION CENTER,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,378,,
2022-03-08T14-40-56,87106,PRESBYTERIAN MAIN HOSPITAL,02/18/2022 12:00:00 AM,02/23/2022 12:00:00 AM,18,,
2022-03-16T18-51-35,87106,DUKE CITY URGENT CARE UNIV AREA,NLP,NLP,NLP,9,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,87106,DUKE CITY URGENT CARE UNIV AREA,NLP,NLP,NLP,9,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,87106,DUKE CITY URGENT CARE UNIV AREA,NLP,NLP,NLP,9,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,87106,PRESBYTERIAN HOSPITAL,NLP,NLP,NLP,47,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,87106,UNM HOSPITAL,NLP,NLP,NLP,16,03/16/2022 12:00:00 AM
