2022-02-18T16-04-21,53147,MHS-WALWORTH MEDICAL CENTER,02/14/2022 12:00:00 AM,02/17/2022 12:00:00 AM,12,,
2022-03-03T09-56-49,53147,MHS-WALWORTH MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,54,,
2022-03-03T10-04-44,53147,MHS-WALWORTH MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,54,,
2022-03-08T14-40-56,53147,MHS-WALWORTH MEDICAL CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,54,,
2022-03-16T18-51-35,53147,MERCY WALWORTH HOSPITAL & MEDICAL CENTER,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,53147,MERCY WALWORTH HOSPITAL & MEDICAL CENTER,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,53147,MERCY WALWORTH HOSPITAL & MEDICAL CENTER,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,53147,MERCY WALWORTH HOSPITAL & MEDICAL CENTER,NLP,NLP,NLP,1,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,53147,MERCY WALWORTH HOSPITAL & MEDICAL CENTER,NLP,NLP,NLP,1,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,53147,MERCY WALWORTH HOSPITAL & MEDICAL CENTER,NLP,NLP,NLP,1,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,53147,MERCY WALWORTH HOSPITAL & MEDICAL CENTER,NLP,NLP,NLP,1,03/16/2022 12:00:00 AM
