2022-03-08T14-40-56,27215,Marshall Anderson,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,42,,
2022-03-16T18-51-35,27215,KERNODLE CLINIC,NLP,NLP,NLP,63,03/09/2022 12:00:00 AM
2022-03-16T18-51-35,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,27215,KERNODLE CLINIC,NLP,NLP,NLP,63,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,27215,KERNODLE CLINIC,NLP,NLP,NLP,63,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,27215,KERNODLE CLINIC,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,27215,KERNODLE CLINIC,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,27215,KERNODLE CLINIC,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,27215,NEIL MED GROUP-BURLINGTON,NLP,NLP,NLP,6,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,27215,KERNODLE CLINIC,NLP,NLP,NLP,62,03/16/2022 12:00:00 AM
