2022-02-18T16-04-21,59337,Garfield County Health Center,02/14/2022 12:00:00 AM,02/18/2022 12:00:00 AM,6,,
2022-03-03T09-56-49,59337,Garfield County Health Center,02/14/2022 12:00:00 AM,02/18/2022 12:00:00 AM,6,,
2022-03-03T10-04-44,59337,Garfield County Health Center,02/14/2022 12:00:00 AM,02/18/2022 12:00:00 AM,6,,
2022-03-08T14-40-56,59337,Garfield County Health Center,02/14/2022 12:00:00 AM,02/18/2022 12:00:00 AM,6,,
2022-03-16T18-51-35,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,59337,GARFIELD COUNTY HEALTH CENTER,NLP,NLP,NLP,14,03/30/2022 12:00:00 AM
