2022-03-03T09-56-49,36607,MOBILE INFIRMARY MEDICAL CENTER,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,24,,
2022-03-03T10-04-44,36607,MOBILE INFIRMARY MEDICAL CENTER,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,36607,MOBILE INFIRMARY MEDICAL CENTER,03/07/2022 12:00:00 AM,03/03/2022 12:00:00 AM,78,,
2022-03-16T18-51-35,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,48,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,48,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,48,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,36607,INFIRMARY LTAC HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,36607,INFIRMARY LTAC HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,36607,INFIRMARY LTAC HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,36607,INFIRMARY LTAC HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,36607,INFIRMARY LTAC HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,36607,INFIRMARY LTAC HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,36607,INFIRMARY LTAC HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,36607,INFIRMARY LTAC HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,36607,INFIRMARY LTAC HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,36607,MOBILE INFIRMARY MEDICAL CENTER,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,36607,INFIRMARY LTAC HOSPITAL,NLP,NLP,NLP,63,03/16/2022 12:00:00 AM
