2022-02-18T16-04-21,26505,MONONGALIA GENERAL HOSPITAL,02/15/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,26505,MONONGALIA GENERAL HOSPITAL,02/28/2022 12:00:00 AM,,35,,
2022-03-03T10-04-44,26505,MONONGALIA GENERAL HOSPITAL,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,35,,
2022-03-08T14-40-56,26505,MONONGALIA GENERAL HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,35,,
2022-05-27T05-48-57,26505,MONONGALIA GENERAL HOSPITAL,NLP,NLP,NLP,26,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,26505,MONONGALIA GENERAL HOSPITAL,NLP,NLP,NLP,26,05/26/2022 12:00:00 AM
2022-05-29T05-31-58,26505,MONONGALIA GENERAL HOSPITAL,NLP,NLP,NLP,26,05/26/2022 12:00:00 AM
2022-05-30T05-32-42,26505,MONONGALIA GENERAL HOSPITAL,NLP,NLP,NLP,26,05/26/2022 12:00:00 AM
2022-05-31T08-56-01,26505,MONONGALIA GENERAL HOSPITAL,NLP,NLP,NLP,26,05/26/2022 12:00:00 AM
2022-06-01T05-37-50,26505,MONONGALIA GENERAL HOSPITAL,NLP,NLP,NLP,26,05/26/2022 12:00:00 AM
2022-06-02T07-54-10,26505,MONONGALIA GENERAL HOSPITAL,NLP,NLP,NLP,26,05/26/2022 12:00:00 AM
2022-06-03T08-50-11,26505,MONONGALIA GENERAL HOSPITAL,NLP,NLP,NLP,26,05/26/2022 12:00:00 AM
2022-06-04T19-11-08,26505,MONONGALIA GENERAL HOSPITAL,NLP,NLP,NLP,26,05/26/2022 12:00:00 AM
2022-06-05T08-48-25,26505,MONONGALIA GENERAL HOSPITAL,NLP,NLP,NLP,26,05/26/2022 12:00:00 AM
2022-06-06T06-32-51,26505,MONONGALIA GENERAL HOSPITAL,NLP,NLP,NLP,26,05/26/2022 12:00:00 AM
2022-06-07T05-36-41,26505,MONONGALIA GENERAL HOSPITAL,NLP,NLP,NLP,26,05/26/2022 12:00:00 AM
