2022-02-18T16-04-21,71342,LASALLE GENERAL HOSPITAL,02/15/2022 12:00:00 AM,,5,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,71342,LASALLE GENERAL HOSPITAL,02/28/2022 12:00:00 AM,,15,9,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,71342,LASALLE GENERAL HOSPITAL,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,8,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,71342,LASALLE GENERAL HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,15,13,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/16/2022 12:00:00 AM
2022-03-30T09-27-07,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/29/2022 12:00:00 AM
2022-04-02T06-05-59,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/29/2022 12:00:00 AM
2022-04-03T05-51-54,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/29/2022 12:00:00 AM
2022-04-04T05-38-24,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/29/2022 12:00:00 AM
2022-04-05T05-48-33,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/29/2022 12:00:00 AM
2022-04-06T05-45-18,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/29/2022 12:00:00 AM
2022-04-07T05-34-07,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/29/2022 12:00:00 AM
2022-04-08T05-48-29,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/29/2022 12:00:00 AM
2022-04-09T05-41-09,71342,LASALLE GENERAL HOSPITAL,NLP,NLP,NLP,13,03/29/2022 12:00:00 AM
