2022-03-08T14-40-56,80204,DENVER HEALTH MED CNTR PHR,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,50,,
2022-03-16T18-51-35,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,50,03/12/2022 12:00:00 AM
2022-03-21T06-11-50,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,50,03/21/2022 12:00:00 AM
2022-03-21T14-18-38,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,50,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,50,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,100,03/23/2022 12:00:00 AM
2022-03-24T07-49-11,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,100,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,100,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,100,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,100,03/26/2022 12:00:00 AM
2022-03-26T12-42-50,80204,DENVER HEALTH MEDICAL CENTER,NLP,NLP,NLP,100,03/26/2022 12:00:00 AM
