2022-02-18T16-04-21,67801,WESTERN PLAINS MEDICAL COMPLEX,02/14/2022 12:00:00 AM,,5,0,02/15/2022 12:00:00 AM
2022-03-03T09-56-49,67801,WESTERN PLAINS MEDICAL COMPLEX,02/28/2022 12:00:00 AM,,15,5,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,67801,WESTERN PLAINS MEDICAL COMPLEX,02/28/2022 12:00:00 AM,02/16/2022 12:00:00 AM,15,5,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,67801,WESTERN PLAINS MEDICAL COMPLEX,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,15,5,03/08/2022 12:00:00 AM
2022-03-18T09-58-11,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-24T07-49-11,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-24T13-46-29,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-25T08-10-53,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-04-15T06-03-51,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,04/14/2022 12:00:00 AM
2022-04-19T05-39-24,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,5,04/14/2022 12:00:00 AM
2022-04-20T05-27-37,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,4,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,4,04/19/2022 12:00:00 AM
2022-04-22T05-26-18,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,4,04/19/2022 12:00:00 AM
2022-04-23T05-25-10,67801,WESTERN PLAINS MEDICAL COMPLEX,NLP,NLP,NLP,4,04/19/2022 12:00:00 AM
