2022-02-18T16-04-21,39648,Southwest MS Regional Medical Ctr,02/16/2022 12:00:00 AM,,5,0,02/16/2022 12:00:00 AM
2022-03-03T09-56-49,39648,Southwest MS Regional Medical Ctr,02/23/2022 12:00:00 AM,,10,11,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,39648,Southwest MS Regional Medical Ctr,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,10,11,02/25/2022 12:00:00 AM
2022-03-08T14-40-56,39648,Southwest MS Regional Medical Ctr,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,10,11,02/25/2022 12:00:00 AM
2022-03-29T08-50-48,39648,Southwest MS Regional Medical Ctr,NLP,NLP,NLP,11,02/25/2022 12:00:00 AM
2022-03-30T09-27-07,39648,Southwest MS Regional Medical Ctr,NLP,NLP,NLP,11,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,39648,Southwest MS Regional Medical Ctr,NLP,NLP,NLP,11,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,39648,Southwest MS Regional Medical Ctr,NLP,NLP,NLP,11,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,39648,Southwest MS Regional Medical Ctr,NLP,NLP,NLP,11,03/29/2022 12:00:00 AM
2022-04-02T06-05-59,39648,Southwest MS Regional Medical Ctr,NLP,NLP,NLP,11,03/29/2022 12:00:00 AM
2022-04-03T05-51-54,39648,Southwest MS Regional Medical Ctr,NLP,NLP,NLP,11,03/29/2022 12:00:00 AM
2022-04-04T05-38-24,39648,Southwest MS Regional Medical Ctr,NLP,NLP,NLP,11,03/29/2022 12:00:00 AM
