2022-02-18T16-04-21,66935,REPUBLIC CNTY HOSPITAL,02/14/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,66935,REPUBLIC CNTY HOSPITAL,02/28/2022 12:00:00 AM,,20,10,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,66935,REPUBLIC CNTY HOSPITAL,02/28/2022 12:00:00 AM,02/18/2022 12:00:00 AM,20,20,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,66935,REPUBLIC CNTY HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,66935,REPUBLIC CNTY HOSPITAL,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
