2022-02-18T16-04-21,12180,SAMARITAN HOSP PURCHASING,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,12180,SAMARITAN HOSP PURCHASING,02/23/2022 12:00:00 AM,,30,25,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,12180,SAMARITAN HOSP PURCHASING,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,25,02/25/2022 12:00:00 AM
2022-03-08T14-40-56,12180,SAMARITAN HOSP PURCHASING,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,25,03/04/2022 12:00:00 AM
2022-03-16T18-51-35,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,25,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,25,03/10/2022 12:00:00 AM
2022-03-18T11-03-37,12180,SAMARITAN HOSP PURCHASING,NLP,NLP,NLP,25,03/10/2022 12:00:00 AM
2022-03-24T13-46-29,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,12180,Samaritan-St. Marys Campus,NLP,NLP,NLP,55,03/23/2022 12:00:00 AM
