2022-02-18T16-04-21,35968,DEKALB REGIONAL MEDICAL CENTER,02/17/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,35968,DEKALB REGIONAL MEDICAL CENTER,02/21/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,35968,DEKALB REGIONAL MEDICAL CENTER,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,35968,DEKALB REGIONAL MEDICAL CENTER,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,25,,
2022-05-06T06-12-41,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,65,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,64,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,64,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,64,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,64,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,63,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,63,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,62,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,62,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,62,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,62,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,62,05/16/2022 12:00:00 AM
2022-05-21T05-54-21,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/20/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,35968,DEKALB REGIONAL MEDICAL CENTER,NLP,NLP,NLP,60,05/23/2022 12:00:00 AM
