2022-05-10T06-06-54,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-13T06-07-31,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-14T08-49-14,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-15T05-54-13,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-16T05-54-24,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-17T05-27-38,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-18T05-40-23,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-19T05-25-31,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-20T05-59-40,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-21T05-54-21,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-22T09-07-10,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-23T07-42-39,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-24T05-46-03,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-25T05-39-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-26T07-59-29,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-26T07-59-29,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-26T07-59-29,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-27T05-48-57,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-28T05-34-18,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-29T05-31-58,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-30T05-32-42,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-31T08-56-01,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-01T05-37-50,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-02T07-54-10,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-03T08-50-11,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-04T19-11-08,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-05T08-48-25,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-06T06-32-51,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-07T05-36-41,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-08T05-42-02,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-09T04-15-20,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-10T04-15-36,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-11T04-15-14,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-12T04-15-15,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-13T04-15-40,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-14T04-15-16,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-15T04-15-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-16T04-15-45,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-17T04-15-27,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-18T04-15-18,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-19T04-15-29,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-20T04-15-58,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-06-21T04-15-35,99703,Bassett Army Community Hospital,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
