2022-02-18T16-04-21,10601,WHITE PLAINS HOSPITAL,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,10601,WHITE PLAINS HOSPITAL,02/17/2022 12:00:00 AM,,5,5,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,10601,WHITE PLAINS HOSPITAL,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,5,5,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,10601,WHITE PLAINS HOSPITAL,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,5,5,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,5,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,5,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,5,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,12,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,12,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,12,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,10601,WHITE PLAINS HOSPITAL,NLP,NLP,NLP,12,03/25/2022 12:00:00 AM
