2022-02-18T16-04-21,21061,UM BALTIMORE WASHINGTON MEDICAL CEN,02/17/2022 12:00:00 AM,,95,,
2022-03-03T09-56-49,21061,UM BALTIMORE WASHINGTON MEDICAL CEN,02/24/2022 12:00:00 AM,,260,,
2022-03-03T10-04-44,21061,UM BALTIMORE WASHINGTON MEDICAL CEN,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,260,95,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,21061,UM BALTIMORE WASHINGTON MEDICAL CEN,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,335,9,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,21061,UM BALTIMORE WASHINGTON MEDICAL CEN,NLP,NLP,NLP,335,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,21061,UM BALTIMORE WASHINGTON MEDICAL CEN,NLP,NLP,NLP,335,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,21061,UM BALTIMORE WASHINGTON MEDICAL CEN,NLP,NLP,NLP,335,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,21061,UM BALTIMORE WASHINGTON MEDICAL CEN,NLP,NLP,NLP,335,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,21061,UM BALTIMORE WASHINGTON MEDICAL CEN,NLP,NLP,NLP,335,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,21061,UM BALTIMORE WASHINGTON MEDICAL CEN,NLP,NLP,NLP,335,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,21061,UM BALTIMORE WASHINGTON MEDICAL CEN,NLP,NLP,NLP,335,03/18/2022 12:00:00 AM
