2022-02-18T16-04-21,71075,SPRINGHILL MEDICAL CENTER,02/15/2022 12:00:00 AM,,5,5,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,71075,SPRINGHILL MEDICAL CENTER,02/28/2022 12:00:00 AM,,15,5,02/18/2022 12:00:00 AM
2022-03-03T10-04-44,71075,SPRINGHILL MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,15,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,71075,SPRINGHILL MEDICAL CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,15,15,03/02/2022 12:00:00 AM
2022-03-29T08-50-48,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-03-30T09-27-07,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-03-31T08-53-07,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-03-31T15-09-22,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-01T06-54-45,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-02T06-05-59,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-03T05-51-54,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-04T05-38-24,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-05T05-48-33,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-06T05-45-18,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-07T05-34-07,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-08T05-48-29,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-09T05-41-09,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-10T09-31-27,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-11T07-06-23,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
2022-04-12T07-06-55,71075,SPRINGHILL MEDICAL CENTER,NLP,NLP,NLP,15,03/02/2022 12:00:00 AM
