2022-02-18T16-04-21,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,02/14/2022 12:00:00 AM,,5,5,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,02/28/2022 12:00:00 AM,,25,15,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,25,15,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,25,25,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,66720,NEOSHO MEMORIAL REGIONAL MED CENTER,NLP,NLP,NLP,25,03/21/2022 12:00:00 AM
