2022-02-18T16-04-21,43526,COMMUNITY MEMORIAL HOSPITAL,02/16/2022 12:00:00 AM,,10,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,43526,COMMUNITY MEMORIAL HOSPITAL,02/16/2022 12:00:00 AM,,10,10,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,43526,COMMUNITY MEMORIAL HOSPITAL,02/16/2022 12:00:00 AM,02/18/2022 12:00:00 AM,10,10,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,43526,COMMUNITY MEMORIAL HOSPITAL,02/16/2022 12:00:00 AM,02/18/2022 12:00:00 AM,10,10,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-09T05-41-09,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-10T09-31-27,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-11T07-06-23,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-12T07-06-55,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-13T09-20-57,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-13T11-55-39,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/05/2022 12:00:00 AM
2022-04-14T09-18-06,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/20/2022 12:00:00 AM
2022-04-23T05-25-10,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,05/02/2022 12:00:00 AM
2022-05-05T09-49-47,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,43526,COMMUNITY MEMORIAL HOSPITAL,NLP,NLP,NLP,10,05/06/2022 12:00:00 AM
