2022-02-18T16-04-21,24970,GREENBRIER VALLEY MED CENTER,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,24970,GREENBRIER VALLEY MED CENTER,02/28/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,24970,GREENBRIER VALLEY MED CENTER,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,24970,GREENBRIER VALLEY MED CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,25,,
2022-06-08T05-42-02,24970,GREENBRIER VALLEY MED CENTER,NLP,NLP,NLP,15,06/07/2022 12:00:00 AM
2022-06-09T04-15-20,24970,GREENBRIER VALLEY MED CENTER,NLP,NLP,NLP,15,06/07/2022 12:00:00 AM
2022-06-10T04-15-36,24970,GREENBRIER VALLEY MED CENTER,NLP,NLP,NLP,15,06/07/2022 12:00:00 AM
2022-06-11T04-15-14,24970,GREENBRIER VALLEY MED CENTER,NLP,NLP,NLP,15,06/07/2022 12:00:00 AM
2022-06-12T04-15-15,24970,GREENBRIER VALLEY MED CENTER,NLP,NLP,NLP,15,06/07/2022 12:00:00 AM
2022-06-13T04-15-40,24970,GREENBRIER VALLEY MED CENTER,NLP,NLP,NLP,15,06/07/2022 12:00:00 AM
2022-06-14T04-15-16,24970,GREENBRIER VALLEY MED CENTER,NLP,NLP,NLP,15,06/07/2022 12:00:00 AM
2022-06-15T04-15-27,24970,GREENBRIER VALLEY MED CENTER,NLP,NLP,NLP,15,06/07/2022 12:00:00 AM
2022-06-16T04-15-45,24970,GREENBRIER VALLEY MED CENTER,NLP,NLP,NLP,16,06/15/2022 12:00:00 AM
