2022-02-18T16-04-21,71055,MINDEN MEDICAL CENTER,02/14/2022 12:00:00 AM,,5,5,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,71055,MINDEN MEDICAL CENTER,02/21/2022 12:00:00 AM,,10,10,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,71055,MINDEN MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,10,10,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,71055,MINDEN MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,10,10,02/24/2022 12:00:00 AM
2022-03-16T18-51-35,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-03-18T11-03-37,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-03-29T08-50-48,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-03-30T09-27-07,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-03-31T08-53-07,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-03-31T15-09-22,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-01T06-54-45,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-02T06-05-59,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-03T05-51-54,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-04T05-38-24,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-05T05-48-33,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-06T05-45-18,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-07T05-34-07,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-08T05-48-29,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-09T05-41-09,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-10T09-31-27,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-11T07-06-23,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-12T07-06-55,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-13T09-20-57,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-13T11-55-39,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-14T09-18-06,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-15T06-03-51,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-16T05-33-42,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-17T05-32-24,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-18T05-31-10,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-19T05-39-24,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-20T05-27-37,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-21T05-29-54,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-04-22T05-26-18,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-05-11T06-51-12,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,2,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,2,05/10/2022 12:00:00 AM
2022-05-13T06-07-31,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,2,05/10/2022 12:00:00 AM
2022-05-14T08-49-14,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,2,05/10/2022 12:00:00 AM
2022-05-15T05-54-13,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,2,05/10/2022 12:00:00 AM
2022-05-16T05-54-24,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,2,05/10/2022 12:00:00 AM
2022-05-17T05-27-38,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,9,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,9,05/16/2022 12:00:00 AM
2022-05-19T05-25-31,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,9,05/16/2022 12:00:00 AM
2022-05-20T05-59-40,71055,MINDEN MEDICAL CENTER,NLP,NLP,NLP,9,05/16/2022 12:00:00 AM
