2022-02-18T16-04-21,36049,CRENSHAW COMMUNITY HOSPITAL,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,36049,CRENSHAW COMMUNITY HOSPITAL,02/21/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,36049,CRENSHAW COMMUNITY HOSPITAL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,36049,CRENSHAW COMMUNITY HOSPITAL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,20,10,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,36049,CRENSHAW COMMUNITY HOSPITAL,NLP,NLP,NLP,40,03/29/2022 12:00:00 AM
