2022-03-16T18-51-35,07112,RWJBH NEWARK BETH ISRAEL,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,07112,RWJBH NEWARK BETH ISRAEL,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,07112,RWJBH NEWARK BETH ISRAEL,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,07112,RWJBH NEWARK BETH ISRAEL,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,07112,RWJBH NEWARK BETH ISRAEL,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,07112,RWJBH NEWARK BETH ISRAEL,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,07112,RWJBH NEWARK BETH ISRAEL,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,07112,RWJBH NEWARK BETH ISRAEL,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,07112,RWJBH NEWARK BETH ISRAEL,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-21T14-18-38,07112,RWJBH NEWARK BETH ISRAEL,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-21T16-35-27,07112,RWJBH NEWARK BETH ISRAEL,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-22T09-16-18,07112,RWJBH NEWARK BETH ISRAEL,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,07112,RWJBH NEWARK BETH ISRAEL,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,07112,RWJBH NEWARK BETH ISRAEL,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
