2022-02-18T16-04-21,57117,SANFORD USD MEDICAL CENTER,02/14/2022 12:00:00 AM,,30,,
2022-03-03T09-56-49,57117,SANFORD USD MEDICAL CENTER,02/28/2022 12:00:00 AM,,120,,
2022-03-03T10-04-44,57117,SANFORD USD MEDICAL CENTER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,120,,
2022-03-08T14-40-56,57117,SANFORD USD MEDICAL CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,120,,
2022-04-14T09-18-06,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-04-17T05-32-24,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-04-18T05-31-10,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-04-19T05-39-24,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-04-20T05-27-37,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-04-21T05-29-54,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-04-22T05-26-18,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-04-23T05-25-10,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-04-24T05-22-24,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-04-25T05-22-33,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-04-26T05-20-54,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-04-27T05-23-49,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-04-28T09-22-45,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-04-29T05-13-54,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-04-30T05-15-55,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-01T05-13-51,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-02T06-02-50,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-03T06-05-23,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-04T05-12-02,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-05T09-49-47,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-06T06-12-41,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-07T05-45-31,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-08T10-02-59,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-09T05-08-14,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-10T06-06-54,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-11T06-51-12,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-12T07-16-49,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-13T06-07-31,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
2022-05-14T08-49-14,57117,SANFORD USD MEDICAL CENTER,NLP,NLP,NLP,151,04/13/2022 12:00:00 AM
