2022-02-18T16-04-21,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,02/18/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,02/18/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,02/18/2022 12:00:00 AM,02/22/2022 12:00:00 AM,20,20,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,02/18/2022 12:00:00 AM,02/22/2022 12:00:00 AM,20,20,03/04/2022 12:00:00 AM
2022-03-16T18-51-35,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/10/2022 12:00:00 AM
2022-03-18T11-03-37,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/10/2022 12:00:00 AM
2022-03-18T11-17-38,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,55051,WELIA-FIRSTLIGHT HEALTH SYSTEM,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
