2022-02-18T16-04-21,11432,NYC HEALTH + HOSPITALS/QUEENS,02/17/2022 12:00:00 AM,,50,,
2022-03-03T09-56-49,11432,NYC HEALTH + HOSPITALS/QUEENS,02/24/2022 12:00:00 AM,,95,,
2022-03-03T10-04-44,11432,NYC HEALTH + HOSPITALS/QUEENS,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,95,,
2022-03-08T14-40-56,11432,NYC HEALTH + HOSPITALS/QUEENS,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,95,,
2022-03-16T18-51-35,11432,NYC H+H/QUEENS HOSPITAL CENTER,NLP,NLP,NLP,95,03/07/2022 12:00:00 AM
2022-03-24T13-46-29,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-30T09-27-07,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-31T08-53-07,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-31T15-09-22,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-01T06-54-45,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-02T06-05-59,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-03T05-51-54,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-04T05-38-24,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-05T05-48-33,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-06T05-45-18,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-07T05-34-07,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-08T05-48-29,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-09T05-41-09,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-10T09-31-27,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-11T07-06-23,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-12T07-06-55,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-13T09-20-57,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-13T11-55-39,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-14T09-18-06,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-04-15T06-03-51,11432,Caretender LLC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
