2022-02-18T16-04-21,56183,SANFORD WESTBROOK HOSPITAL,02/18/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,56183,SANFORD WESTBROOK HOSPITAL,02/23/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,56183,SANFORD WESTBROOK HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,56183,SANFORD WESTBROOK HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,,
2022-03-16T18-51-35,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-29T08-50-48,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-30T09-27-07,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-31T08-53-07,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-31T15-09-22,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-01T06-54-45,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-02T06-05-59,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-03T05-51-54,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-04T05-38-24,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-05T05-48-33,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-06T05-45-18,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-07T05-34-07,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-08T05-48-29,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-04-09T05-41-09,56183,SANFORD WESTBROOK HOSPITAL,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
