2022-02-18T16-04-21,11004,LONG ISLAND JEWISH MEDICAL CENTER,02/17/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,11004,LONG ISLAND JEWISH MEDICAL CENTER,02/17/2022 12:00:00 AM,,15,25,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,11004,LONG ISLAND JEWISH MEDICAL CENTER,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,15,25,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,11004,LONG ISLAND JEWISH MEDICAL CENTER,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,15,1,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/22/2022 12:00:00 AM
2022-03-26T06-57-27,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/22/2022 12:00:00 AM
2022-03-26T12-42-50,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/22/2022 12:00:00 AM
2022-03-27T06-25-27,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/22/2022 12:00:00 AM
2022-03-28T06-21-17,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,1,03/22/2022 12:00:00 AM
2022-03-29T08-50-48,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,80,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,160,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,160,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,160,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,160,03/29/2022 12:00:00 AM
2022-04-02T06-05-59,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,160,03/29/2022 12:00:00 AM
2022-04-03T05-51-54,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,160,03/29/2022 12:00:00 AM
2022-04-04T05-38-24,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,160,03/29/2022 12:00:00 AM
2022-04-05T05-48-33,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,105,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,105,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,64,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,249,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,232,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,232,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,232,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,202,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,177,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,177,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,177,04/12/2022 12:00:00 AM
2022-04-15T06-03-51,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,217,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,252,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,252,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,252,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,214,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,187,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,187,04/19/2022 12:00:00 AM
2022-04-22T05-26-18,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,187,04/19/2022 12:00:00 AM
2022-04-23T05-25-10,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,187,04/19/2022 12:00:00 AM
2022-04-24T05-22-24,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,187,04/19/2022 12:00:00 AM
2022-04-25T05-22-33,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,187,04/19/2022 12:00:00 AM
2022-04-26T05-20-54,11004,LONG ISLAND JEWISH MEDICAL CENTER,NLP,NLP,NLP,186,04/25/2022 12:00:00 AM
