2022-02-18T16-04-21,82414,WEST PARK HOSPITAL,02/16/2022 12:00:00 AM,,10,0,02/16/2022 12:00:00 AM
2022-03-18T09-58-11,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-30T09-27-07,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-31T08-53-07,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-31T15-09-22,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-01T06-54-45,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-02T06-05-59,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-03T05-51-54,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-04T05-38-24,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-05T05-48-33,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-06T05-45-18,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-07T05-34-07,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-08T05-48-29,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-09T05-41-09,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-10T09-31-27,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-11T07-06-23,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-04-12T07-06-55,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,04/11/2022 12:00:00 AM
2022-04-14T09-18-06,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,04/11/2022 12:00:00 AM
2022-04-15T06-03-51,82414,WEST PARK HOSPITAL,NLP,NLP,NLP,10,04/11/2022 12:00:00 AM
