2022-02-18T16-04-21,45804,LIMA MEMORIAL HEALTH SYSTEM,02/16/2022 12:00:00 AM,,10,0,02/16/2022 12:00:00 AM
2022-03-03T09-56-49,45804,LIMA MEMORIAL HEALTH SYSTEM,02/23/2022 12:00:00 AM,,20,10,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,45804,LIMA MEMORIAL HEALTH SYSTEM,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,10,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,45804,LIMA MEMORIAL HEALTH SYSTEM,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,20,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-03-29T08-50-48,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-03T05-51-54,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-04T05-38-24,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-04-05T05-48-33,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-08T05-48-29,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-09T05-41-09,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-10T09-31-27,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-11T07-06-23,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-12T07-06-55,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/04/2022 12:00:00 AM
2022-04-13T09-20-57,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,45804,LIMA MEMORIAL HEALTH SYSTEM,NLP,NLP,NLP,20,04/12/2022 12:00:00 AM
