2022-02-18T16-04-21,11706,SOUTHSIDE HOSPITAL,02/17/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,11706,SOUTHSIDE HOSPITAL,02/17/2022 12:00:00 AM,,15,15,02/22/2022 12:00:00 AM
2022-03-03T10-04-44,11706,SOUTHSIDE HOSPITAL,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,15,15,02/22/2022 12:00:00 AM
2022-03-08T14-40-56,11706,SOUTHSIDE HOSPITAL,02/17/2022 12:00:00 AM,02/22/2022 12:00:00 AM,15,15,02/22/2022 12:00:00 AM
2022-03-29T08-50-48,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,15,02/22/2022 12:00:00 AM
2022-03-30T09-27-07,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,15,02/22/2022 12:00:00 AM
2022-03-31T08-53-07,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,15,02/22/2022 12:00:00 AM
2022-03-31T15-09-22,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,15,02/22/2022 12:00:00 AM
2022-04-01T06-54-45,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,15,02/22/2022 12:00:00 AM
2022-04-02T06-05-59,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,58,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,58,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,58,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,53,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,53,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,36,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,36,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,36,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,36,04/06/2022 12:00:00 AM
2022-04-11T07-06-23,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,36,04/06/2022 12:00:00 AM
2022-04-12T07-06-55,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,130,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,130,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,130,04/11/2022 12:00:00 AM
2022-04-14T09-18-06,11706,SOUTHSIDE HOSPITAL,NLP,NLP,NLP,,04/13/2022 12:00:00 AM
