2022-03-08T14-40-56,60527,METRO INFECTIOUS DISEASE CONSULT,02/23/2022 12:00:00 AM,03/01/2022 12:00:00 AM,100,90,03/04/2022 12:00:00 AM
2022-03-16T18-51-35,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,90,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,88,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,88,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,88,03/17/2022 12:00:00 AM
2022-03-29T08-50-48,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,382,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,382,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,382,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,382,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,382,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,382,03/28/2022 12:00:00 AM
2022-04-03T05-51-54,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,382,03/28/2022 12:00:00 AM
2022-04-04T05-38-24,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,382,03/28/2022 12:00:00 AM
2022-04-05T05-48-33,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,382,03/28/2022 12:00:00 AM
2022-04-06T05-45-18,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,382,03/28/2022 12:00:00 AM
2022-04-07T05-34-07,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,382,03/28/2022 12:00:00 AM
2022-04-08T05-48-29,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,,04/07/2022 12:00:00 AM
2022-04-12T07-06-55,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,,04/07/2022 12:00:00 AM
2022-04-13T09-20-57,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,320,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,320,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,320,04/12/2022 12:00:00 AM
2022-04-15T06-03-51,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,320,04/12/2022 12:00:00 AM
2022-04-16T05-33-42,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,320,04/12/2022 12:00:00 AM
2022-04-17T05-32-24,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,320,04/12/2022 12:00:00 AM
2022-04-18T05-31-10,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,320,04/12/2022 12:00:00 AM
2022-04-19T05-39-24,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,320,04/12/2022 12:00:00 AM
2022-04-20T05-27-37,60527,METRO INFECTIOUS DISEASE CONSULT,NLP,NLP,NLP,320,04/12/2022 12:00:00 AM
