2022-02-18T16-04-21,73801,ALLIANCE HEALTH WOODWARD,02/17/2022 12:00:00 AM,,50,,
2022-03-03T09-56-49,73801,ALLIANCE HEALTH WOODWARD,02/23/2022 12:00:00 AM,,100,50,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,73801,ALLIANCE HEALTH WOODWARD,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,50,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,73801,ALLIANCE HEALTH WOODWARD,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,93,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,93,03/07/2022 12:00:00 AM
2022-03-18T11-17-38,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-03-30T09-27-07,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-03-31T08-53-07,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-03-31T15-09-22,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-04-01T06-54-45,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-04-02T06-05-59,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-04-03T05-51-54,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-04-04T05-38-24,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-04-05T05-48-33,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-04-06T05-45-18,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-04-07T05-34-07,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-04-08T05-48-29,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-04-09T05-41-09,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-04-10T09-31-27,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-04-11T07-06-23,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
2022-04-12T07-06-55,73801,ALLIANCE HEALTH WOODWARD,NLP,NLP,NLP,91,03/16/2022 12:00:00 AM
