2022-02-18T16-04-21,71730,MEDICAL CENTER OF SOUTH ARKANSAS,02/16/2022 12:00:00 AM,,5,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,71730,MEDICAL CENTER OF SOUTH ARKANSAS,02/16/2022 12:00:00 AM,,5,5,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,71730,MEDICAL CENTER OF SOUTH ARKANSAS,02/16/2022 12:00:00 AM,02/18/2022 12:00:00 AM,5,5,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,71730,MEDICAL CENTER OF SOUTH ARKANSAS,02/16/2022 12:00:00 AM,02/18/2022 12:00:00 AM,5,5,03/06/2022 12:00:00 AM
2022-03-16T18-51-35,71730,MEDICAL CENTER OF SOUTH ARKANSAS,NLP,NLP,NLP,5,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,71730,MEDICAL CENTER OF SOUTH ARKANSAS,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,71730,MEDICAL CENTER OF SOUTH ARKANSAS,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,71730,MEDICAL CENTER OF SOUTH ARKANSAS,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,71730,MEDICAL CENTER OF SOUTH ARKANSAS,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,71730,MEDICAL CENTER OF SOUTH ARKANSAS,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,71730,MEDICAL CENTER OF SOUTH ARKANSAS,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,71730,MEDICAL CENTER OF SOUTH ARKANSAS,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
