2022-02-18T16-04-21,35205,ASCENSION ST VINCENTS BIRMINGHAM,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,35205,ASCENSION ST VINCENTS BIRMINGHAM,02/21/2022 12:00:00 AM,,15,15,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,35205,ASCENSION ST VINCENTS BIRMINGHAM,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,25,15,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,35205,ASCENSION ST VINCENTS BIRMINGHAM,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,25,15,02/24/2022 12:00:00 AM
2022-03-29T08-50-48,35205,ASCENSION ST VINCENTS BIRMINGHAM,NLP,NLP,NLP,15,02/24/2022 12:00:00 AM
2022-03-30T09-27-07,35205,ASCENSION ST VINCENTS BIRMINGHAM,NLP,NLP,NLP,15,02/24/2022 12:00:00 AM
2022-03-31T08-53-07,35205,ASCENSION ST VINCENTS BIRMINGHAM,NLP,NLP,NLP,15,02/24/2022 12:00:00 AM
2022-03-31T15-09-22,35205,ASCENSION ST VINCENTS BIRMINGHAM,NLP,NLP,NLP,15,02/24/2022 12:00:00 AM
2022-04-01T06-54-45,35205,ASCENSION ST VINCENTS BIRMINGHAM,NLP,NLP,NLP,15,02/24/2022 12:00:00 AM
2022-04-02T06-05-59,35205,ASCENSION ST VINCENTS BIRMINGHAM,NLP,NLP,NLP,15,02/24/2022 12:00:00 AM
2022-04-03T05-51-54,35205,ASCENSION ST VINCENTS BIRMINGHAM,NLP,NLP,NLP,15,02/24/2022 12:00:00 AM
2022-04-04T05-38-24,35205,ASCENSION ST VINCENTS BIRMINGHAM,NLP,NLP,NLP,15,02/24/2022 12:00:00 AM
2022-04-05T05-48-33,35205,ASCENSION ST VINCENTS BIRMINGHAM,NLP,NLP,NLP,15,02/24/2022 12:00:00 AM
2022-04-06T05-45-18,35205,ASCENSION ST VINCENTS BIRMINGHAM,NLP,NLP,NLP,15,02/24/2022 12:00:00 AM
2022-04-07T05-34-07,35205,ASCENSION ST VINCENTS BIRMINGHAM,NLP,NLP,NLP,15,02/24/2022 12:00:00 AM
2022-04-08T05-48-29,35205,ASCENSION ST VINCENTS BIRMINGHAM,NLP,NLP,NLP,15,02/24/2022 12:00:00 AM
2022-04-09T05-41-09,35205,ASCENSION ST VINCENTS BIRMINGHAM,NLP,NLP,NLP,15,02/24/2022 12:00:00 AM
2022-04-10T09-31-27,35205,ASCENSION ST VINCENTS BIRMINGHAM,NLP,NLP,NLP,15,02/24/2022 12:00:00 AM
2022-04-11T07-06-23,35205,ASCENSION ST VINCENTS BIRMINGHAM,NLP,NLP,NLP,15,02/24/2022 12:00:00 AM
2022-04-12T07-06-55,35205,ASCENSION ST VINCENTS BIRMINGHAM,NLP,NLP,NLP,15,02/24/2022 12:00:00 AM
2022-04-13T09-20-57,35205,ASCENSION ST VINCENTS BIRMINGHAM,NLP,NLP,NLP,15,02/24/2022 12:00:00 AM
