2022-04-20T05-27-37,39117,Scott Regional Hospital,NLP,NLP,NLP,0,03/01/2022 12:00:00 AM
2022-04-21T05-29-54,39117,Scott Regional Hospital,NLP,NLP,NLP,0,03/01/2022 12:00:00 AM
2022-04-22T05-26-18,39117,Scott Regional Hospital,NLP,NLP,NLP,0,03/01/2022 12:00:00 AM
2022-04-23T05-25-10,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-27T05-23-49,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-28T09-22-45,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-29T05-13-54,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-04-30T05-15-55,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-01T05-13-51,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-02T06-02-50,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-03T06-05-23,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-04T05-12-02,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-05T09-49-47,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-06T06-12-41,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-07T05-45-31,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-08T10-02-59,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-09T05-08-14,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-10T06-06-54,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-11T06-51-12,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-12T07-16-49,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-13T06-07-31,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-14T08-49-14,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-15T05-54-13,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-16T05-54-24,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-17T05-27-38,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-18T05-40-23,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-19T05-25-31,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-20T05-59-40,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-21T05-54-21,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-22T09-07-10,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-23T07-42-39,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-23T07-42-39,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-23T07-42-39,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-23T07-42-39,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-23T07-42-39,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-23T07-42-39,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-23T07-42-39,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-23T07-42-39,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-23T07-42-39,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-23T07-42-39,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-23T07-42-39,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-23T07-42-39,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-23T07-42-39,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-23T07-42-39,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-23T07-42-39,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-23T07-42-39,39117,Scott Regional Hospital,NLP,NLP,NLP,20,04/22/2022 12:00:00 AM
2022-05-24T05-46-03,39117,Scott Regional Hospital,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,39117,Scott Regional Hospital,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,39117,Scott Regional Hospital,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
