2022-02-18T16-04-21,36081,TROY REGIONAL MEDICAL CENTER,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,36081,TROY REGIONAL MEDICAL CENTER,02/21/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,36081,TROY REGIONAL MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,36081,TROY REGIONAL MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,,
2022-04-29T05-13-54,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,11,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,11,04/28/2022 12:00:00 AM
2022-05-01T05-13-51,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,11,04/28/2022 12:00:00 AM
2022-05-02T06-02-50,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,11,04/28/2022 12:00:00 AM
2022-05-03T06-05-23,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,11,04/28/2022 12:00:00 AM
2022-05-04T05-12-02,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,11,04/28/2022 12:00:00 AM
2022-05-05T09-49-47,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,11,04/28/2022 12:00:00 AM
2022-05-06T06-12-41,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,11,04/28/2022 12:00:00 AM
2022-05-07T05-45-31,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,11,04/28/2022 12:00:00 AM
2022-05-08T10-02-59,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,11,04/28/2022 12:00:00 AM
2022-05-09T05-08-14,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,11,04/28/2022 12:00:00 AM
2022-05-10T06-06-54,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,6,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,6,05/09/2022 12:00:00 AM
2022-05-12T07-16-49,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,6,05/09/2022 12:00:00 AM
2022-05-13T06-07-31,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,6,05/09/2022 12:00:00 AM
2022-05-14T08-49-14,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,6,05/09/2022 12:00:00 AM
2022-05-15T05-54-13,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,6,05/09/2022 12:00:00 AM
2022-05-16T05-54-24,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,6,05/09/2022 12:00:00 AM
2022-05-17T05-27-38,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-19T05-25-31,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-20T05-59-40,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-21T05-54-21,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-22T09-07-10,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-26T07-59-29,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,2,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,2,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,2,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,2,05/25/2022 12:00:00 AM
2022-05-28T05-34-18,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,2,05/25/2022 12:00:00 AM
2022-05-29T05-31-58,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,2,05/25/2022 12:00:00 AM
2022-05-30T05-32-42,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,2,05/25/2022 12:00:00 AM
2022-05-31T08-56-01,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,2,05/25/2022 12:00:00 AM
2022-06-01T05-37-50,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,3,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,3,05/31/2022 12:00:00 AM
2022-06-03T08-50-11,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,3,05/31/2022 12:00:00 AM
2022-06-04T19-11-08,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,3,05/31/2022 12:00:00 AM
2022-06-05T08-48-25,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,3,05/31/2022 12:00:00 AM
2022-06-06T06-32-51,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,3,05/31/2022 12:00:00 AM
2022-06-07T05-36-41,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,3,05/31/2022 12:00:00 AM
2022-06-08T05-42-02,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,3,05/31/2022 12:00:00 AM
2022-06-09T04-15-20,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,3,05/31/2022 12:00:00 AM
2022-06-10T04-15-36,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,3,05/31/2022 12:00:00 AM
2022-06-11T04-15-14,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,3,05/31/2022 12:00:00 AM
2022-06-12T04-15-15,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,3,05/31/2022 12:00:00 AM
2022-06-13T04-15-40,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,3,05/31/2022 12:00:00 AM
2022-06-14T04-15-16,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,5,06/13/2022 12:00:00 AM
2022-06-15T04-15-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,5,06/13/2022 12:00:00 AM
2022-06-16T04-15-45,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,5,06/13/2022 12:00:00 AM
2022-06-17T04-15-27,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,5,06/13/2022 12:00:00 AM
2022-06-18T04-15-18,36081,TROY REGIONAL MEDICAL CENTER,NLP,NLP,NLP,5,06/13/2022 12:00:00 AM
